"y" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14"
0 -0.6339 -1.82565 -0.176931 1.941343 1.694153 1.998986 -1.124004 -1.139834 0.227833 1.079071 0.136403 0.359476 0.381488 -0.299467
0 -1.297519 0.88304 -0.6604 1.057098 1.343873 1.906421 -1.67915 -1.621609 -0.859409 -0.860902 -1.565132 -2.455866 0.273863 0.582489
0 1.148361 0.055394 -0.520113 0.816102 0.61599 0.860109 -1.647393 -1.873646 0.651712 -0.896435 1.208359 -0.44202 -0.527845 -0.178401
0 0.635617 -1.958625 1.179156 -1.362937 -1.692865 1.867434 -1.180064 -1.913788 -0.215859 -0.228243 -0.82097 -0.901345 -0.091012 0.929606
0 -0.077509 -0.653524 -2.004583 1.954331 1.975044 1.929164 -1.80309 -1.902628 1.76199 -0.702554 -0.91747 2.981414 0.380862 -0.112021
0 0.921013 0.654515 0.299962 -1.171144 1.003969 0.097651 -0.308296 -1.713582 0.338998 1.423004 0.59998 -0.053378 -1.185642 0.997346
0 -0.566644 -0.831885 -2.317888 1.59091 1.833808 0.79021 0.291025 -0.812399 -0.081595 1.165498 2.32897 -0.071067 -0.849542 0.996797
0 0.15673 -0.665772 -0.617139 -1.817571 1.30288 1.973676 0.972139 -1.987058 1.673293 -1.02607 -0.841661 2.326787 0.824349 0.375123
0 -0.718514 0.095533 -0.23151 -1.739812 0.131632 0.38059 0.21754 -1.394762 0.408901 1.17295 -0.319125 1.550403 -1.619306 -0.529494
0 -0.253805 2.119795 -1.136956 -1.848804 1.839089 1.993286 -0.763815 -0.052405 1.870145 -0.311956 1.807126 -1.492489 0.529902 -0.79363
1 0.55307 -0.109801 -0.318967 -0.180169 1.403702 1.995572 -1.950506 -0.612479 1.737984 -0.889108 0.505435 0.156593 2.067995 -0.785534
0 -1.02247 -0.869421 -1.143599 1.802845 -0.908566 1.692493 -1.848294 -1.97628 0.267213 0.152264 -1.600297 -0.053304 -1.721662 0.167519
0 0.515005 -0.681665 -0.148307 -1.302092 1.733553 1.115267 -1.519264 -1.196649 0.108715 -0.591973 0.697992 -2.199103 0.798707 -0.354028
0 0.36433 -0.252782 1.090332 -1.999018 0.592457 1.396448 -1.959295 1.057453 -1.246381 -1.185524 -0.188733 -5.338811 0.583949 1.397745
0 2.369014 0.079784 0.810317 0.72079 0.27541 -0.866623 0.777481 -0.840356 -0.147783 -1.502428 -0.292791 -2.586525 -0.237636 0.258436
1 -1.709675 -0.141984 0.645727 0.769079 1.571391 1.76114 -1.204898 -1.115866 -1.743366 -1.554863 -1.070235 1.862493 -1.635455 0.908394
0 0.723965 0.667243 -1.068346 -1.998539 1.010772 1.895827 0.720035 -1.833117 -0.964481 0.065184 -1.525585 1.820883 0.19967 0.822548
0 -1.386264 0.717453 0.303883 1.977754 0.80387 1.399123 0.802303 -1.898637 1.33843 -0.907888 0.608118 -3.270198 0.831641 -0.802682
0 1.220572 0.976505 -0.047184 -1.9262 0.16537 0.321289 -1.983105 -1.107501 -1.336221 -0.005541 -2.116822 -1.369258 -0.201278 1.276489
0 -0.128303 -0.01641 1.550729 0.379604 -1.002848 1.999434 -1.832992 1.334533 -0.04773 -0.853873 0.323486 -1.19581 -1.861522 -0.551754
0 1.070712 1.481362 -0.425157 1.339039 -0.392074 0.959307 1.189793 -0.655147 1.206951 -0.032873 0.301502 0.008443 0.237524 0.200391
0 -0.999539 -0.470169 0.22348 -1.97609 0.801397 -0.201439 -0.216124 -1.918118 0.143653 0.504053 0.987963 -1.066217 2.578187 1.364483
0 0.109378 1.435326 -0.338127 -0.724428 1.985493 1.788951 -1.787665 0.994664 -0.392468 -1.781177 2.249256 2.658498 0.98964 0.626673
0 0.605733 3.123684 0.740159 0.880013 1.816843 1.56291 1.779064 -0.140864 0.797976 0.641456 0.943035 -3.763345 -0.420756 -0.031849
0 -0.35859 0.577886 1.272474 1.279381 1.999153 0.512757 -1.986786 -1.340111 -1.206923 -1.18364 -3.12754 -1.070544 0.832536 2.193106
0 -0.947337 0.924723 -0.848608 -1.963579 -0.461711 1.954013 -0.158582 -0.637223 -0.468975 -0.574799 -0.669729 -1.40852 -0.74347 -0.123694
0 -0.785007 -0.149944 -0.22001 0.65979 1.348742 0.852424 -1.971916 -1.212435 0.565936 0.172762 0.111899 -2.131299 -0.191792 -0.928602
0 -1.258411 -0.782761 -2.684714 -1.285708 1.874393 1.937526 -1.964737 -1.261305 -0.967125 1.721359 -0.22972 0.013055 0.310844 0.860797
